"education","joiningyear","city","paymenttier","age","gender","everbenched","experienceincurrentdomain","leaveornot"
"Bachelors",2017,"Bangalore",3,28,"Male",False,"0",True
"Masters",2017,"New Delhi",3,30,"Male",False,"3",True
"Bachelors",2013,"Pune",2,31,"Female",False,"2",True
"Bachelors",2015,"Pune",2,30,"Female",False,"1",True
"Bachelors",2017,"New Delhi",3,25,"Female",True,"3",False
"Masters",2013,"New Delhi",2,25,"Male",False,"3",True
"Masters",2015,"New Delhi",1,27,"Male",False,"5",False
"Masters",2017,"New Delhi",2,23,"Male",False,"1",False
"Bachelors",2017,"Bangalore",3,26,"Female",False,"4",True
"Bachelors",2018,"Bangalore",3,40,"Male",True,"3",True
"PHD",2013,"Bangalore",3,26,"Male",False,"4",False
"Bachelors",2015,"Bangalore",3,29,"Male",True,"1",False
"Bachelors",2018,"Bangalore",3,28,"Female",False,"2",True
"Bachelors",2015,"Pune",2,22,"Female",False,"0",True
"Masters",2017,"New Delhi",2,31,"Female",False,"2",True
"Bachelors",2017,"Bangalore",3,41,"Male",False,"5",False
"Bachelors",2016,"Bangalore",3,31,"Male",False,"5",False
"Bachelors",2018,"Bangalore",1,36,"Male",True,"1",False
"Bachelors",2017,"Bangalore",2,27,"Male",False,"5",False
"Masters",2017,"New Delhi",2,28,"Female",False,"1",True
"Masters",2015,"Pune",1,28,"Female",False,"3",True
"Bachelors",2017,"Pune",2,34,"Female",False,"5",True
"Bachelors",2014,"Bangalore",3,35,"Male",True,"0",False
"Bachelors",2013,"Bangalore",3,26,"Male",True,"4",False
"Masters",2014,"New Delhi",3,25,"Male",False,"3",False
"Bachelors",2015,"Bangalore",3,30,"Male",False,"4",False
"PHD",2016,"New Delhi",3,24,"Female",False,"2",False
"Bachelors",2013,"Bangalore",3,28,"Male",False,"0",False
"Masters",2016,"Bangalore",3,26,"Female",False,"4",True
"Masters",2012,"Bangalore",3,27,"Male",False,"5",True
"Bachelors",2013,"Bangalore",2,38,"Female",False,"1",True
"Masters",2017,"New Delhi",1,36,"Female",False,"0",False
"Bachelors",2012,"Bangalore",1,36,"Male",False,"3",False
"Masters",2014,"Bangalore",3,28,"Female",False,"4",True
"Bachelors",2015,"Bangalore",3,38,"Male",True,"4",False
"Bachelors",2017,"Bangalore",3,36,"Male",False,"5",False
"Bachelors",2014,"Bangalore",1,28,"Female",False,"5",False
"Bachelors",2016,"Pune",3,32,"Male",False,"3",False
"Masters",2017,"Pune",1,39,"Male",False,"0",False
"Masters",2015,"New Delhi",3,29,"Male",False,"2",False
"Bachelors",2017,"Pune",3,32,"Male",False,"4",False
"Bachelors",2015,"New Delhi",3,29,"Male",False,"1",False
"Bachelors",2017,"Bangalore",3,28,"Male",False,"1",False
"Bachelors",2015,"Bangalore",3,25,"Female",False,"3",False
"Masters",2017,"Bangalore",1,27,"Male",False,"5",False
"Bachelors",2018,"Pune",3,35,"Female",False,"3",True
"Bachelors",2018,"New Delhi",3,27,"Female",True,"5",True
"Bachelors",2015,"Pune",2,25,"Female",False,"3",True
"Masters",2013,"Pune",3,27,"Female",True,"5",True
"Masters",2015,"Pune",2,33,"Female",False,"2",True
"Bachelors",2017,"Bangalore",1,28,"Female",False,"3",False
"Bachelors",2017,"New Delhi",2,32,"Male",False,"0",False
"Masters",2018,"Bangalore",3,40,"Female",False,"3",True
"Masters",2017,"Pune",2,37,"Male",False,"2",False
"Bachelors",2013,"Pune",2,25,"Female",False,"3",True
"Bachelors",2013,"New Delhi",3,38,"Female",False,"4",False
"Bachelors",2017,"Bangalore",3,31,"Male",False,"0",False
"Bachelors",2014,"Bangalore",3,28,"Male",False,"3",False
"PHD",2018,"Bangalore",3,33,"Male",False,"2",True
"Bachelors",2016,"Pune",3,28,"Female",False,"2",True
"Bachelors",2013,"New Delhi",3,30,"Female",False,"1",False
"Bachelors",2015,"Pune",3,26,"Female",False,"4",True
"Bachelors",2017,"Bangalore",3,25,"Male",False,"3",True
"PHD",2017,"New Delhi",3,29,"Male",False,"3",False
"Bachelors",2015,"Pune",2,39,"Female",True,"0",True
"Bachelors",2017,"Bangalore",3,30,"Female",False,"5",False
"Bachelors",2015,"Bangalore",3,32,"Male",False,"4",False
"Bachelors",2017,"Bangalore",3,27,"Female",True,"5",False
"Bachelors",2015,"Pune",2,28,"Female",False,"4",True
"PHD",2013,"Pune",3,35,"Male",False,"0",False
"Masters",2017,"Pune",3,27,"Male",False,"5",True
"Bachelors",2013,"Pune",3,33,"Male",False,"5",False
"Bachelors",2012,"New Delhi",3,27,"Female",False,"5",True
"Bachelors",2017,"Pune",2,34,"Male",False,"2",False
"Bachelors",2017,"Bangalore",3,38,"Male",False,"0",True
"Bachelors",2014,"Pune",2,28,"Female",False,"3",True
"Bachelors",2017,"Bangalore",2,37,"Male",False,"2",True
"Bachelors",2017,"New Delhi",2,27,"Female",False,"5",False
"Bachelors",2018,"Bangalore",3,33,"Female",False,"4",True
"Bachelors",2014,"New Delhi",3,30,"Male",False,"2",True
"Bachelors",2015,"Pune",3,39,"Male",False,"4",False
"Bachelors",2015,"Bangalore",3,27,"Male",True,"5",False
"Masters",2017,"New Delhi",2,34,"Male",True,"2",False
"Bachelors",2014,"New Delhi",3,33,"Female",False,"4",False
"Bachelors",2015,"New Delhi",2,29,"Female",False,"1",True
"Bachelors",2012,"Bangalore",3,25,"Female",False,"3",True
"Bachelors",2015,"Pune",2,26,"Female",True,"4",True
"Bachelors",2012,"New Delhi",3,25,"Female",False,"3",False
"Bachelors",2015,"Bangalore",1,25,"Male",False,"3",False
"Bachelors",2015,"Pune",2,37,"Female",False,"4",True
"Bachelors",2017,"New Delhi",3,33,"Female",False,"2",False
"Masters",2017,"Pune",3,35,"Male",False,"2",False
"Bachelors",2017,"Bangalore",3,26,"Female",False,"4",False
"Masters",2017,"New Delhi",2,24,"Female",False,"2",False
"Bachelors",2017,"Bangalore",3,30,"Male",False,"4",False
"Bachelors",2012,"New Delhi",1,27,"Female",False,"5",False
"Masters",2018,"Bangalore",3,30,"Male",True,"2",True
"Bachelors",2017,"New Delhi",1,31,"Female",False,"4",True
"PHD",2015,"Bangalore",3,40,"Male",False,"3",False
"Bachelors",2015,"Bangalore",3,33,"Male",True,"4",False
"Bachelors",2016,"New Delhi",3,28,"Female",True,"3",False
"Bachelors",2017,"New Delhi",2,30,"Male",False,"5",False
"Bachelors",2014,"Pune",2,38,"Female",False,"3",True
"Bachelors",2015,"Pune",2,31,"Female",False,"1",True
"Bachelors",2017,"Pune",3,32,"Male",False,"5",False
"Bachelors",2014,"Bangalore",1,39,"Male",False,"2",False
"Bachelors",2017,"Pune",3,25,"Male",True,"3",True
"Bachelors",2018,"Bangalore",3,27,"Female",False,"5",True
"Masters",2017,"Bangalore",2,25,"Male",False,"3",False
"Bachelors",2015,"Pune",3,28,"Female",True,"5",True
"Bachelors",2015,"New Delhi",2,24,"Female",False,"2",True
"Bachelors",2013,"Pune",3,36,"Female",False,"0",True
"Bachelors",2017,"Pune",2,22,"Male",False,"0",False
"Bachelors",2013,"Pune",3,29,"Male",True,"2",False
"Bachelors",2017,"Pune",3,41,"Male",False,"4",False
"Bachelors",2014,"Pune",3,33,"Male",False,"3",False
"Bachelors",2014,"Bangalore",3,31,"Male",False,"0",True
"Masters",2017,"New Delhi",2,28,"Female",False,"3",False
"Masters",2017,"Pune",3,24,"Male",False,"2",True
"PHD",2015,"New Delhi",2,28,"Female",False,"1",False
"Bachelors",2017,"Bangalore",3,35,"Female",False,"3",False
"Bachelors",2017,"New Delhi",2,28,"Female",False,"4",False
"Masters",2017,"New Delhi",1,37,"Male",False,"0",False
"Bachelors",2012,"Bangalore",3,26,"Female",False,"4",False
"Bachelors",2015,"Bangalore",3,38,"Female",False,"2",False
"Masters",2017,"New Delhi",2,31,"Female",False,"2",False
"Bachelors",2015,"Bangalore",3,26,"Female",True,"4",False
"Bachelors",2015,"Bangalore",3,36,"Male",False,"3",False
"Bachelors",2016,"Pune",3,24,"Male",True,"2",False
"Masters",2018,"New Delhi",3,40,"Male",False,"2",True
"Bachelors",2016,"Pune",3,26,"Male",False,"4",False
"Masters",2014,"Pune",3,24,"Male",False,"2",False
"Bachelors",2018,"Pune",3,29,"Male",True,"3",True
"Bachelors",2016,"Bangalore",2,25,"Male",False,"3",True
"Masters",2017,"Pune",2,25,"Female",False,"3",True
"Bachelors",2015,"Bangalore",1,25,"Female",True,"3",False
"Bachelors",2017,"New Delhi",3,26,"Male",False,"4",False
"Bachelors",2015,"Pune",3,29,"Male",False,"2",False
"Bachelors",2014,"Bangalore",3,30,"Male",False,"2",False
"Masters",2017,"New Delhi",2,29,"Male",False,"4",False
"Bachelors",2014,"Pune",3,39,"Male",False,"4",False
"Bachelors",2014,"Bangalore",3,28,"Female",False,"2",False
"Masters",2017,"New Delhi",2,28,"Male",True,"2",False
"Bachelors",2012,"Bangalore",3,37,"Male",False,"3",True
"Masters",2017,"New Delhi",2,29,"Male",False,"1",False
"Bachelors",2012,"Pune",2,30,"Female",False,"2",True
"Bachelors",2012,"Bangalore",3,39,"Male",False,"3",False
"Bachelors",2013,"Pune",2,30,"Female",False,"5",True
"Bachelors",2017,"New Delhi",2,36,"Male",False,"2",False
"Bachelors",2015,"New Delhi",3,25,"Female",False,"3",True
"Bachelors",2015,"Pune",3,30,"Female",False,"1",True
"Bachelors",2015,"Pune",1,24,"Female",True,"2",True
"Bachelors",2017,"Pune",3,24,"Male",False,"2",False
"Bachelors",2018,"Bangalore",1,25,"Male",True,"3",False
"Masters",2017,"Pune",2,25,"Male",False,"3",True
"Bachelors",2012,"Pune",3,27,"Male",False,"5",False
"Masters",2017,"Pune",2,30,"Male",False,"0",True
"Bachelors",2016,"New Delhi",3,28,"Female",False,"2",False
"Bachelors",2017,"Pune",2,40,"Female",False,"2",True
"Bachelors",2017,"Bangalore",1,39,"Male",False,"0",False
"Bachelors",2018,"Bangalore",3,35,"Female",True,"5",True
"Bachelors",2015,"Bangalore",2,28,"Female",False,"3",True
"Bachelors",2013,"Bangalore",3,33,"Male",False,"2",False
"Bachelors",2014,"Pune",3,30,"Male",False,"1",False
"Bachelors",2017,"New Delhi",3,28,"Female",False,"2",False
"Masters",2015,"Pune",2,27,"Female",False,"5",False
"Bachelors",2016,"Bangalore",3,28,"Female",False,"4",False
"Masters",2015,"Pune",2,32,"Female",False,"4",False
"Bachelors",2017,"Bangalore",3,40,"Female",False,"4",False
"PHD",2018,"New Delhi",2,29,"Female",False,"1",True
"Bachelors",2014,"Bangalore",3,35,"Male",False,"0",True
"Bachelors",2012,"Bangalore",3,27,"Female",False,"5",False
"Bachelors",2016,"Bangalore",1,27,"Female",False,"5",False
"Bachelors",2013,"New Delhi",3,27,"Female",False,"5",False
"Bachelors",2014,"Bangalore",3,37,"Male",False,"5",False
"Masters",2012,"New Delhi",3,28,"Male",False,"2",True
"Bachelors",2013,"Bangalore",3,40,"Male",False,"4",False
"Bachelors",2018,"Bangalore",3,32,"Male",True,"0",True
"Bachelors",2017,"Bangalore",3,34,"Female",False,"2",False
"Bachelors",2012,"Bangalore",3,28,"Male",False,"2",False
"Bachelors",2012,"New Delhi",3,35,"Female",False,"5",False
"Bachelors",2017,"New Delhi",2,34,"Male",False,"2",False
"Bachelors",2014,"Bangalore",3,28,"Male",False,"5",False
"PHD",2018,"New Delhi",3,34,"Male",False,"0",True
"Masters",2014,"Bangalore",3,35,"Female",False,"2",True
"Masters",2017,"New Delhi",2,36,"Male",False,"2",True
"Masters",2014,"Pune",3,30,"Male",False,"0",True
"Bachelors",2016,"New Delhi",3,31,"Female",False,"4",False
"Bachelors",2015,"Pune",2,36,"Male",False,"5",False
"Masters",2013,"New Delhi",3,30,"Male",False,"2",True
"Masters",2014,"New Delhi",3,33,"Male",False,"2",False
"Masters",2012,"New Delhi",3,28,"Male",True,"2",False
"Bachelors",2017,"Pune",3,34,"Female",False,"1",False
"Bachelors",2016,"Bangalore",3,39,"Female",False,"5",False
"Bachelors",2017,"Bangalore",3,35,"Male",False,"2",False
"Bachelors",2012,"Pune",3,31,"Male",False,"3",False
"Bachelors",2018,"Pune",3,28,"Female",False,"1",True
"Bachelors",2015,"Bangalore",3,39,"Male",False,"2",True
"Masters",2017,"New Delhi",2,30,"Male",False,"2",False
"Bachelors",2017,"New Delhi",2,39,"Female",False,"2",False
"Bachelors",2016,"Bangalore",3,39,"Male",False,"0",True
"Bachelors",2013,"Pune",2,26,"Male",True,"4",False
"Bachelors",2017,"Bangalore",3,36,"Female",False,"3",True
"Masters",2013,"New Delhi",1,41,"Male",False,"5",False
"Masters",2017,"New Delhi",1,40,"Male",False,"5",False
"Masters",2015,"Bangalore",3,28,"Male",False,"1",True
"Masters",2013,"Pune",3,26,"Male",False,"4",True
"Bachelors",2015,"Bangalore",3,28,"Female",False,"0",False
"Bachelors",2013,"New Delhi",3,25,"Female",True,"3",True
"Masters",2013,"New Delhi",2,33,"Female",False,"2",True
"Bachelors",2017,"Bangalore",3,34,"Female",True,"1",False
"Bachelors",2013,"Pune",2,39,"Female",False,"1",True
"Masters",2013,"New Delhi",3,27,"Male",False,"5",True
"Bachelors",2014,"New Delhi",3,28,"Male",False,"0",False
"Bachelors",2013,"Bangalore",1,30,"Male",False,"1",False
"Bachelors",2015,"New Delhi",2,28,"Female",False,"1",True
"Bachelors",2015,"Bangalore",3,37,"Female",False,"5",False
"Bachelors",2015,"Bangalore",3,33,"Male",False,"2",False
"Bachelors",2015,"Pune",2,24,"Female",True,"2",True
"Bachelors",2015,"Bangalore",3,30,"Male",False,"3",False
"Masters",2017,"Pune",2,28,"Male",False,"2",False
"Bachelors",2018,"Bangalore",3,28,"Male",False,"1",True
"Masters",2013,"New Delhi",3,29,"Male",False,"3",False
"Masters",2017,"New Delhi",1,40,"Female",False,"0",False
"Bachelors",2014,"Bangalore",3,32,"Male",False,"5",False
"Bachelors",2015,"Bangalore",2,32,"Female",False,"2",True
"PHD",2013,"New Delhi",3,30,"Male",False,"5",False
"Bachelors",2013,"Pune",3,30,"Male",False,"2",False
"Masters",2017,"Bangalore",2,24,"Female",True,"2",True
"Bachelors",2017,"Bangalore",3,28,"Male",False,"1",True
"Masters",2015,"Pune",3,31,"Male",False,"0",False
"PHD",2016,"Pune",1,28,"Male",False,"2",False
"Bachelors",2017,"Pune",2,24,"Female",False,"2",True
"Bachelors",2017,"New Delhi",2,31,"Male",False,"3",False
"Bachelors",2016,"Bangalore",3,40,"Male",False,"5",False
"Bachelors",2016,"Bangalore",3,31,"Female",False,"0",False
"Bachelors",2014,"Bangalore",1,27,"Male",False,"5",False
"Masters",2017,"Bangalore",3,28,"Male",False,"2",False
"Masters",2015,"New Delhi",3,24,"Female",False,"2",False
"Bachelors",2013,"Pune",3,25,"Female",False,"3",False
"Bachelors",2018,"Bangalore",3,32,"Male",False,"4",True
"Masters",2015,"New Delhi",3,24,"Male",False,"2",True
"Bachelors",2012,"Bangalore",3,35,"Female",False,"1",False
"Bachelors",2018,"Bangalore",3,29,"Male",False,"3",True
"Bachelors",2018,"Bangalore",3,25,"Female",True,"3",True
"PHD",2013,"New Delhi",3,40,"Male",False,"5",False
"Masters",2017,"Pune",3,29,"Male",False,"2",False
"Bachelors",2014,"Bangalore",3,29,"Female",False,"2",False
"Bachelors",2015,"Pune",2,34,"Female",False,"5",True
"Bachelors",2015,"Bangalore",3,28,"Female",False,"1",False
"Bachelors",2016,"Pune",2,29,"Male",False,"3",True
"Bachelors",2017,"Pune",3,23,"Male",False,"1",False
"Bachelors",2014,"New Delhi",3,34,"Female",False,"5",False
"Bachelors",2016,"Bangalore",3,28,"Female",False,"1",True
"Masters",2018,"New Delhi",3,30,"Male",False,"2",True
"Masters",2014,"New Delhi",3,28,"Female",False,"3",False
"Bachelors",2015,"Bangalore",3,30,"Male",False,"2",False
"Bachelors",2016,"Pune",3,37,"Male",False,"3",False
"Bachelors",2015,"New Delhi",3,31,"Male",False,"0",False
"Masters",2018,"Pune",3,40,"Male",False,"2",True
"Bachelors",2017,"Pune",2,23,"Female",False,"1",True
"Bachelors",2014,"Bangalore",3,39,"Female",False,"5",False
"Masters",2017,"New Delhi",2,33,"Male",False,"2",False
"Bachelors",2012,"Bangalore",3,31,"Male",True,"5",False
"Masters",2017,"New Delhi",2,36,"Male",True,"2",False
"Bachelors",2014,"Pune",3,28,"Male",False,"2",False
"Bachelors",2014,"Bangalore",3,39,"Male",False,"3",False
"Bachelors",2017,"Bangalore",3,34,"Male",False,"3",True
"Masters",2017,"New Delhi",2,29,"Female",False,"2",False
"PHD",2017,"Bangalore",3,27,"Male",False,"5",False
"Bachelors",2017,"Bangalore",3,25,"Female",True,"3",False
"Bachelors",2017,"Pune",2,28,"Female",False,"1",True
"Masters",2015,"New Delhi",3,28,"Female",False,"2",False
"Bachelors",2016,"New Delhi",3,29,"Female",False,"0",False
"Masters",2017,"New Delhi",1,26,"Female",False,"4",True
"PHD",2013,"Bangalore",3,35,"Male",False,"3",True
"Bachelors",2018,"Pune",3,40,"Male",True,"3",True
"Masters",2014,"New Delhi",3,28,"Male",False,"1",True
"Bachelors",2015,"New Delhi",3,32,"Female",False,"2",False
"Masters",2016,"New Delhi",3,27,"Male",False,"5",True
"Masters",2013,"New Delhi",3,41,"Male",False,"0",False
"Masters",2017,"New Delhi",1,30,"Male",False,"2",False
"Bachelors",2014,"Pune",1,37,"Male",False,"1",False
"Bachelors",2013,"Bangalore",3,24,"Male",True,"2",False
"Bachelors",2012,"Pune",3,29,"Male",False,"5",False
"Bachelors",2014,"Bangalore",3,38,"Female",False,"2",False
"Masters",2014,"New Delhi",3,28,"Female",False,"1",False
"Bachelors",2012,"Pune",1,27,"Male",False,"5",False
"Bachelors",2016,"Bangalore",3,33,"Female",False,"1",True
"PHD",2017,"New Delhi",3,27,"Female",False,"5",False
"Bachelors",2013,"Pune",1,27,"Female",False,"5",True
"Masters",2018,"New Delhi",3,27,"Female",True,"5",True
"Bachelors",2015,"Pune",2,40,"Female",True,"0",True
"Bachelors",2015,"Bangalore",3,34,"Female",False,"2",False
"Bachelors",2015,"Bangalore",3,35,"Male",False,"3",False
"Bachelors",2015,"Bangalore",3,24,"Male",False,"2",False
"Bachelors",2017,"Bangalore",3,35,"Female",False,"5",False
"PHD",2014,"Bangalore",1,25,"Female",False,"3",False
"Masters",2016,"New Delhi",3,27,"Male",True,"5",True
"Bachelors",2012,"Bangalore",3,28,"Male",False,"5",False
"Bachelors",2018,"Bangalore",3,24,"Male",False,"2",True
"Bachelors",2014,"New Delhi",3,29,"Female",False,"2",False
"Bachelors",2014,"Bangalore",3,41,"Male",False,"5",False
"Bachelors",2012,"Bangalore",3,32,"Male",False,"5",False
"Bachelors",2012,"Pune",2,32,"Female",False,"5",True
"Masters",2017,"New Delhi",3,32,"Male",False,"2",False
"Bachelors",2017,"Bangalore",3,38,"Male",False,"3",False
"PHD",2017,"New Delhi",3,24,"Male",False,"2",False
"PHD",2014,"New Delhi",2,37,"Female",False,"5",False
"Masters",2012,"New Delhi",3,28,"Male",False,"2",False
"Bachelors",2012,"New Delhi",1,27,"Female",False,"5",True
"Bachelors",2012,"Bangalore",3,40,"Female",False,"5",False
"PHD",2016,"Pune",1,25,"Female",False,"3",True
"Masters",2016,"New Delhi",3,26,"Female",False,"4",False
"Masters",2015,"Bangalore",2,27,"Female",True,"5",True
"Masters",2014,"Pune",3,27,"Female",False,"5",True
"Bachelors",2012,"Pune",3,24,"Male",False,"2",True
"Bachelors",2013,"Bangalore",3,33,"Male",False,"3",True
"Bachelors",2012,"Bangalore",3,39,"Female",False,"5",False
"Bachelors",2012,"Bangalore",3,28,"Male",True,"2",False
"Masters",2017,"New Delhi",3,38,"Male",False,"2",False
"Masters",2016,"New Delhi",3,24,"Male",False,"2",True
"Bachelors",2017,"Pune",3,25,"Male",False,"3",False
"Bachelors",2013,"Bangalore",3,31,"Male",False,"0",False
"Bachelors",2016,"Pune",3,35,"Male",False,"1",False
"Bachelors",2015,"Pune",3,28,"Female",True,"1",True
"Bachelors",2014,"Bangalore",3,29,"Male",False,"4",False
"Bachelors",2018,"Bangalore",3,31,"Female",False,"2",True
"Masters",2017,"Bangalore",2,39,"Female",False,"2",True
"Bachelors",2018,"Bangalore",3,38,"Male",False,"1",True
"PHD",2016,"New Delhi",3,27,"Male",False,"5",False
"Bachelors",2012,"New Delhi",3,26,"Male",False,"4",False
"Bachelors",2015,"Pune",3,29,"Female",False,"3",True
"Bachelors",2015,"Bangalore",3,24,"Male",True,"2",True
"Bachelors",2012,"Bangalore",3,38,"Male",False,"2",True
"Bachelors",2013,"Pune",3,24,"Female",False,"2",True
"Bachelors",2014,"Pune",2,26,"Female",False,"4",True
"Masters",2017,"Pune",2,29,"Female",False,"1",False
"Masters",2013,"Pune",3,39,"Male",False,"2",False
"Bachelors",2017,"Bangalore",3,30,"Male",False,"2",True
"Bachelors",2015,"New Delhi",3,25,"Female",True,"3",False
"Bachelors",2017,"Bangalore",3,35,"Female",False,"4",False
"Masters",2013,"Bangalore",1,25,"Male",False,"3",True
"Bachelors",2013,"Bangalore",3,31,"Male",True,"4",False
"Masters",2017,"New Delhi",3,40,"Female",False,"0",False
"Bachelors",2012,"Pune",3,33,"Male",False,"2",False
"Bachelors",2015,"New Delhi",3,28,"Female",True,"1",False
"Bachelors",2017,"New Delhi",3,33,"Female",False,"1",True
"Bachelors",2017,"Pune",2,27,"Female",False,"5",True
"Bachelors",2013,"Bangalore",3,38,"Male",False,"0",False
"Masters",2017,"New Delhi",2,26,"Male",True,"4",True
"Masters",2016,"New Delhi",3,41,"Female",False,"4",False
"Bachelors",2015,"Pune",1,31,"Female",False,"3",True
"Bachelors",2015,"Bangalore",3,27,"Male",False,"5",True
"Bachelors",2017,"Bangalore",3,28,"Male",False,"5",False
"Masters",2017,"New Delhi",2,31,"Female",True,"2",False
"Bachelors",2013,"Bangalore",3,28,"Female",False,"0",True
"Masters",2015,"Pune",2,34,"Female",False,"2",False
"Bachelors",2017,"New Delhi",3,34,"Female",False,"2",True
"Bachelors",2015,"Pune",3,28,"Male",False,"2",False
"Bachelors",2016,"Bangalore",3,38,"Female",False,"7",False
"Bachelors",2014,"Pune",3,28,"Female",False,"2",True
"Masters",2017,"New Delhi",3,25,"Male",False,"3",True
"Bachelors",2016,"Bangalore",3,27,"Male",True,"5",False
"Bachelors",2015,"Pune",3,32,"Female",False,"1",False
"Bachelors",2017,"Bangalore",3,37,"Male",False,"4",False
